unique_carrier,avg_occupancy,avg_passengers,avg_seats
DY,0.839617051214205,260.147416039122,309.069361820636
E9,0.816537800687285,316.816666666667,388
EAU,0.294348508634223,3.92857142857143,13.5714285714286
EE,0.357013584723031,58.0785204995241,165.148982170205
EI,0.817560739318366,206.950727387938,252.138497044617
EK,0.768983227605568,308.911046244158,401.085019055316
ELL,0.192152972300031,0.735227424303055,3.34791416566627
EM,0.492778836735724,23.652965827803,47.9990886306676
EQ,0.757795202319255,160.512544988468,216.079460844167
ET,0.69816324072097,203.810775536726,287.572062072812
EV,0.690333770204061,38.6914344432526,56.0561688124433
EW,0.657735176690166,196.431250049411,299.204157262796
EY,0.784279945330834,247.345255858231,318.82436562323
F9,0.838518777350469,152.02722497998,181.665846525911
FCQ,0.544587710052474,83.6654745481873,153.617021276596
FI,0.811057368317473,164.851007644342,202.523909518394
FJ,0.561611486162522,125.420235099348,196.522302691967
FP,0.234518910444836,2.87654320987654,12.4938271604938
FYQ,0.166056166056166,2.15384615384615,13.2307692307692
G3,0.471017913904762,83.0539359593638,171.826935473395
G4,0.823282969154412,139.18747325514,169.309172868063
G7,0.763252911057612,54.3365568694271,71.2921595212492
GBQ,0.224444444444444,3.46666666666667,15.5333333333333
GCH,0.316792675650782,1.60582699311565,5.13636363636364
GCQ,0.470050125313283,6.55263157894737,13.859649122807
GEQ,0.20901882467142,2.98224852071006,14.4674556213018
GL,0.295501150165943,48.5367110433202,165.741133706651
GU,0.757281640046421,115.256068471141,152.189488320356
GV,0.239962352277109,1.85741101984326,7.6748335541888
H6,0.34849548619733,2.98003214024475,8.39124446812425
HA,0.807610583624573,198.354254745455,244.139376717779
HB,0.303528449681299,1.5176422484065,5
HBQ,0.302305182444576,1.86903089440365,6.98840660330259
HU,0.742982249427592,187.742225431764,254.415056750166
HX,0.75864584539353,236.143868058392,310.630555555556
HY,0.734615858447233,194.081281288156,264.530199430199
HYP,0.101503759398496,1.75,16.5
I4,0.413226917323886,3.71903265187114,8.99992264851485
IB,0.80500289729703,248.747879896841,309.11317122394
IFQ,0.348941724125548,2.85576923076923,8.86217948717949
IG,0.696488076826137,185.308697552032,266.387096774194
IGA,0.115300269905533,1.57894736842105,13.3684210526316
J2,0.554510546596204,118.497992097357,214.576271186441
J5,0.365538551243991,2.49553764460144,6.56398123902189
JD,0.858625718221818,210.581547619048,245.196362433862
JJ,0.799648615449785,202.529447569143,251.7117622266
JL,0.809244291024525,179.690152478053,221.914650900235
JQ,0.82379875419987,272.947920006036,331.069197469197
JU,0.764802193675501,193.531824584884,254.090934990935
JVQ,0.142857142857143,2,14
K2,0.249300346852063,1.29608563694949,5.23795986892236
K3,0.143970313206466,1.08861897117562,7.34714633168711
K5,0.362106229986634,2.98610763579868,8.3082833883649
KAH,0.386201939425971,2.7299968641223,6.96743753944945
KAT,0.502873168946589,3.67149940279239,7.11372689165839
KE,0.767776041555887,226.463613478529,293.542718081492
KFQ,0.327777777777778,3.93333333333333,12
KL,0.839522027202721,268.271162328273,323.368931576276
KO,0.470879293341035,7.53590692875068,16.0021494708995
KQ,0.728636264440236,170.500885879015,234
KS,0.516795961152891,17.311366071908,32.9550154340666
KU,0.670556876233025,202.243303417105,299.958002226103
KV,0.779453057679408,57.8965473329122,74.2943136430357
KX,0.567905925398819,71.7406780811489,126.98147110266
LA,0.753925220282143,201.47458614249,268.362375192548
LDM,0.395151268484602,4.97777777777778,12.4222222222222
LDQ,0.230769230769231,3,13
LF,0.386345086499382,6.41497112073843,16.7458106599021
LH,0.817009160835484,267.938371021571,326.368688078108
LJ,0.854356101380782,193.578439287618,225.579128274961
LO,0.783948845500513,206.913030336271,264.061579252457
LP,0.845372940192211,177.245107173858,209.325253003158
LR,0.844871338646624,133.382920161992,158.380694793
LS,0.967048275753373,228.131294964029,235.740407673861
LV,0.763719196226969,239.205646064516,313.699665178571
LW,0.174906098803158,1.57415488922842,9
LX,0.811864660659561,203.395424948111,250.734994127462
LXQ,0.165703781512605,0.744485294117647,3.95490196078431
LY,0.816661422619705,245.098883158398,297.90602618068
MF,0.747582450358676,204.99335541523,342.123465967216
MQ,0.760265716846108,41.7912336355031,54.9942166012157
MS,0.745906927456105,254.730070077716,341.678368121442
MT,0.870178946220058,283.446820513439,325.795582846987
MU,0.76698358216131,221.632515205635,284.880548071837
MW,0.550984206414765,5.11001997914307,9.40166831046105
N8,0.556361672002279,106.154838548446,191.787856530044
NEW,0.440729101442607,3.03205331228717,6.57410268361809
NH,0.778627251773637,184.544897944878,236.815330118146
NK,0.807971787713265,142.733799900591,177.019940893832
NLQ,0.507173696851755,17.4333881578947,35.7383497807018
NQ,0.848918591352181,187.915107153692,221.677956989247
NZ,0.812559415913115,252.72565201611,310.186041112914
O6,0.747652236120932,178.401907983484,238.580273014266
OH,0.762713919711433,48.7719419393494,64.0080412599873
OJ,0.676444415475934,147.890393868677,219.811173899053
OO,0.725907513604083,46.843950380637,64.1344298787729
OR,0.497595843398515,150.516673438431,302.836935912021
OS,0.773982451089413,195.834020166864,254.703187226205
OZ,0.825966659539989,255.992352237133,307.296815194019
P3,0,0,6
PBQ,0.681642219993654,49.2013245545532,71.7103128002562
PD,0.606440932037916,44.8766289708058,74
PF,0.783639763080497,168.331597081461,214.631481481482
PH,0.750088684797083,12.0192969543473,16.03044375645
PK,0.649358402879146,201.886175303455,310.62091503268
PO,0,0,123.5
PP,0.227445063335321,2.82624113475177,12.177304964539
PPQ,0.340402421652422,3.13482142857143,8.96220238095238
PR,0.731593128020871,216.370111080494,296.645902562766
PS,0.814124227587349,238.739255046008,293.262678774241
PT,0.753753518109362,34.4866992433095,45.5949738453493
PY,0.719268548742907,91.9127784353611,127.657630867535
Q5,0.287261249515918,1.10877349243915,3.92569943581421
Q6,0.776057031383296,111.752212519195,144
QF,0.785784158904067,291.128227581248,370.918334918812
QK,0.695593195062013,43.5944134296948,62.0311962134251
QR,0.778285882099707,244.669875934924,314.638214076927
QX,0.772643937782745,58.7229495675547,76.0020721094074
R0,0.488698318623931,3.35701013026674,7.30515152722303
R3,0.487683561724705,58.5527777777778,122.633333333333
RJ,0.660178994926823,175.06885601012,265.225563909774
RV,0.805384836637264,157.790762620924,198.220361500208
RVQ,0.209392871732026,1.50665266106443,7.11621732026144
S3,0.730787815655488,161.702326812704,221.995096797853
S4,0.767180601354904,178.560592749952,235.323456324009
