seats,passengers,payload,airline_id,origin_airport_id,dest_airport_id
0,0,57000,20166,13061,16477
0,0,13500,20166,13061,14879
0,0,165100,20166,13303,11868
0,0,279400,20166,13303,12010
0,0,292100,20166,13303,13306
0,0,25400,20166,13303,14681
0,0,38100,20166,13306,13303
0,0,57000,20166,13514,13061
0,0,57000,20166,13796,10638
0,0,57000,20166,14275,10638
0,0,112000,20166,14275,16477
173,0,42500,20402,10683,12191
173,133,42500,20402,10683,13303
173,50,42500,20402,10721,13303
173,0,42500,20402,10721,13485
346,105,85000,20402,10792,11618
173,0,42500,20402,10792,12264
173,0,42500,20402,10792,13342
173,41,42500,20402,10821,13485
173,0,42500,20402,11003,11067
173,41,42500,20402,11003,12884
173,0,42500,20402,11003,13303
173,35,42500,20402,11003,14711
173,117,42500,20402,11042,10683
173,12,42500,20402,11042,15016
173,55,42500,20402,11049,12945
173,0,42500,20402,11049,12954
173,56,42500,20402,11066,11618
173,40,42500,20402,11066,12878
173,0,42500,20402,11066,13303
173,0,42500,20402,11066,14492
173,0,42500,20402,11067,12884
173,39,42500,20402,11067,13485
173,0,42500,20402,11697,12451
173,0,42500,20402,11697,13485
173,0,42500,20402,11973,14783
173,0,42500,20402,11982,14683
173,0,42500,20402,11995,11618
173,58,42500,20402,12264,13342
173,52,42500,20402,12264,14307
173,45,42500,20402,12339,13342
173,70,42500,20402,12348,13303
173,151,42500,20402,12451,11049
346,214,85000,20402,12451,14492
173,50,42500,20402,12478,13342
173,0,42500,20402,12878,10540
173,40,42500,20402,12878,11066
173,34,42500,20402,12878,12884
346,44,85000,20402,12878,13485
173,63,42500,20402,12878,14711
173,46,42500,20402,12884,11003
173,46,42500,20402,12884,11066
346,87,85000,20402,12884,12878
173,45,42500,20402,12884,13029
173,0,42500,20402,12884,13342
173,57,42500,20402,13105,13342
173,0,42500,20402,13105,15153
173,0,42500,20402,13198,12878
173,93,42500,20402,13198,12917
173,0,42500,20402,13198,13342
1038,647,255000,20402,13204,10540
173,0,42500,20402,13204,10683
173,0,42500,20402,13204,14730
173,0,42500,20402,13232,14711
173,46,42500,20402,13303,10397
346,101,85000,20402,13303,10647
173,0,42500,20402,13303,11193
173,0,42500,20402,13303,11259
173,73,42500,20402,13303,11995
173,0,42500,20402,13303,12191
173,0,42500,20402,13303,12884
173,0,42500,20402,13303,12945
173,49,42500,20402,13303,13342
173,0,42500,20402,13303,13871
519,91,127500,20402,13303,14492
173,0,42500,20402,13303,14711
173,0,42500,20402,13303,15016
173,128,42500,20402,13495,14952
173,0,42500,20402,13785,13485
173,0,42500,20402,13796,14107
173,0,42500,20402,13871,10792
173,50,42500,20402,13871,13342
173,0,42500,20402,13891,12878
173,0,42500,20402,13891,12892
173,48,42500,20402,13930,10721
173,100,42500,20402,13933,11433
173,46,42500,20402,14107,10540
173,0,42500,20402,14107,11259
346,117,85000,20402,14107,12889
173,0,42500,20402,14107,12892
173,0,42500,20402,14107,12954
173,0,42500,20402,14108,13204
173,103,42500,20402,14122,11612
173,51,42500,20402,14122,11618
173,45,42500,20402,14122,11764
173,54,42500,20402,14122,12892
173,0,42500,20402,14122,13303
173,39,42500,20402,14122,14492
173,0,42500,20402,14197,10397
346,88,85000,20402,14711,12884
173,39,42500,20402,14711,13485
173,0,42500,20402,14730,10540
173,53,42500,20402,14730,14492
173,35,42500,20402,14783,14108
173,55,42500,20402,14831,14107
173,57,42500,20402,14831,15304
173,0,42500,20402,14952,11697
173,0,42500,20402,15016,11697
173,0,42500,20402,15016,12884
173,49,42500,20402,15153,10155
173,54,42500,20402,15153,12945
173,0,42500,20402,15153,13303
173,0,42500,20402,15304,10397
173,53,42500,20402,15304,10792
173,0,42500,20402,15304,11433
173,49,42500,20402,15304,14122
173,88,42500,20402,15374,13198
173,140,42500,20402,10411,11259
173,0,42500,20402,10411,13303
173,143,42500,20402,11259,10411
346,316,85000,20402,11697,16271
346,319,85000,20402,16271,11697
173,0,42500,20402,16271,14307
173,0,42500,20402,16271,14492
278,155,106900,19690,11298,14747
1008,990,353200,19690,12173,12889
189,67,50000,19690,12173,12982
1668,1143,637100,19690,12173,14057
792,581,247800,19690,12173,14831
278,125,107500,19690,12758,12892
1008,944,353200,19690,12889,12173
189,67,50000,19690,12892,12173
556,357,215000,19690,12892,12758
189,150,50000,19690,13796,14057
278,185,106000,19690,13830,14679
189,176,50200,19690,13830,14747
1668,1139,637100,19690,14057,12173
278,118,106000,19690,14679,13830
252,234,88100,19690,14679,14869
278,152,106900,19690,14747,11298
792,518,247800,19690,14831,12173
8,8,1800,21029,12523,11997
6,2,1000,21029,14062,14828
18,4,5550,20383,12253,10961
6,0,1850,20383,12253,12773
18,0,5550,20383,12253,12815
60,7,18500,20383,12253,15741
20,6,5916,20383,12253,15741
10,0,2958,20383,12633,11484
6,0,1850,20383,12633,14229
6,0,1850,20383,12633,15741
36,0,11100,20383,12633,15885
