,weather
812,Overcast
813,Overcast
814,Overcast
815,Overcast
816,Overcast
817,Overcast
818,Overcast
819,Overcast
820,Overcast
821,Overcast
822,Overcast
823,Overcast
824,Overcast
825,Overcast
826,Overcast
827,Overcast
828,Overcast
829,Overcast
830,Overcast
831,Overcast
832,Overcast
833,Overcast
834,Overcast
835,Overcast
836,Overcast
837,Overcast
838,Overcast
839,Overcast
840,Overcast
841,Overcast
842,Overcast
843,Overcast
844,Overcast
845,Overcast
846,Overcast
847,Overcast
848,Overcast
849,Overcast
850,Overcast
851,Overcast
852,Overcast
853,Overcast
854,Overcast
855,Overcast
856,Overcast
857,Overcast
858,Overcast
859,Overcast
860,Overcast
861,Overcast
862,Overcast
863,Overcast
864,Overcast
865,Overcast
866,Overcast
867,Overcast
868,Overcast
869,Overcast
870,Overcast
871,Overcast
872,Overcast
873,Overcast
874,Overcast
875,Overcast
876,Overcast
877,Overcast
878,Overcast
879,Overcast
880,Overcast
881,Overcast
882,Overcast
883,Overcast
884,Overcast
885,Overcast
886,Overcast
887,Overcast
888,Overcast
889,Overcast
890,Overcast
891,Overcast
892,Overcast
893,Overcast
894,Overcast
895,Overcast
896,Overcast
897,Overcast
898,Overcast
899,Overcast
900,Overcast
901,Overcast
902,Overcast
903,Overcast
904,Overcast
905,Overcast
906,Overcast
907,Overcast
908,Overcast
909,Overcast
910,Overcast
911,Overcast
912,Overcast
913,Overcast
914,Overcast
915,Overcast
916,Overcast
917,Overcast
918,Overcast
919,Overcast
920,Overcast
921,Overcast
922,Overcast
923,Overcast
924,Overcast
925,Overcast
926,Overcast
927,Overcast
928,Overcast
929,Overcast
930,Overcast
931,Overcast
932,Overcast
933,Overcast
934,Overcast
935,Overcast
936,Overcast
937,Overcast
938,Overcast
939,Overcast
940,Overcast
941,Overcast
942,Overcast
943,Overcast
944,Overcast
945,Overcast
946,Overcast
947,Overcast
948,Overcast
949,Overcast
950,Overcast
951,Overcast
952,Overcast
953,Overcast
954,Overcast
955,Overcast
956,Overcast
957,Overcast
958,Overcast
959,Overcast
960,Overcast
961,Overcast
962,Overcast
963,Overcast
964,Overcast
965,Overcast
966,Overcast
967,Overcast
968,Overcast
969,Overcast
970,Overcast
971,Overcast
972,Overcast
973,Overcast
974,Overcast
975,Overcast
976,Overcast
977,Overcast
978,Overcast
979,Overcast
980,Overcast
981,Overcast
982,Overcast
983,Overcast
984,Overcast
985,Overcast
986,Overcast
987,Overcast
988,Overcast
989,Overcast
990,Overcast
991,Overcast
992,Overcast
993,Overcast
994,Overcast
995,Overcast
996,Overcast
997,Overcast
998,Overcast
999,Overcast
1000,Overcast
1001,Overcast
1002,Overcast
1003,Overcast
1004,Overcast
1005,Overcast
1006,Overcast
1007,Overcast
1008,Overcast
1009,Overcast
1010,Overcast
1011,Overcast
1012,Overcast
1013,Overcast
1014,Overcast
1015,Overcast
1016,Overcast
1017,Overcast
1018,Overcast
1019,Overcast
1020,Overcast
1021,Overcast
1022,Overcast
1023,Overcast
1024,Overcast
1025,Overcast
1026,Overcast
1027,Overcast
1028,Overcast
1029,Overcast
1030,Overcast
1031,Overcast
1032,Overcast
1033,Overcast
1034,Overcast
1035,Overcast
1036,Overcast
1037,Overcast
1038,Overcast
1039,Overcast
1040,Overcast
1041,Overcast
1042,Overcast
1043,Overcast
1044,Overcast
1045,Overcast
1046,Overcast
1047,Overcast
1048,Overcast
1049,Overcast
1050,Overcast
1051,Overcast
1052,Overcast
1053,Overcast
1054,Overcast
1055,Overcast
1056,Overcast
1057,Overcast
1058,Overcast
1059,Overcast
1060,Overcast
1061,Overcast
1062,Overcast
1063,Overcast
1064,Overcast
1065,Overcast
1066,Overcast
1067,Overcast
1068,Overcast
1069,Overcast
1070,Overcast
1071,Overcast
1072,Overcast
1073,Overcast
1074,Overcast
1075,Overcast
1076,Overcast
1077,Overcast
1078,Overcast
1079,Overcast
1080,Overcast
1081,Overcast
1082,Overcast
1083,Overcast
1084,Overcast
1085,Overcast
1086,Overcast
1087,Overcast
1088,Overcast
1089,Overcast
1090,Overcast
1091,Overcast
1092,Overcast
1093,Overcast
1094,Overcast
1095,Overcast
1096,Overcast
1097,Overcast
1098,Overcast
1099,Overcast
1100,Overcast
1101,Overcast
1102,Overcast
1103,Overcast
1104,Overcast
1105,Overcast
1106,Overcast
1107,Overcast
1108,Overcast
1109,Overcast
1110,Overcast
1111,Overcast
1112,Overcast
1113,Overcast
1114,Overcast
1115,Overcast
1116,Overcast
1117,Overcast
1118,Overcast
1119,Overcast
1120,Overcast
1121,Overcast
1122,Overcast
1123,Overcast
1124,Overcast
1125,Overcast
1126,Overcast
1127,Overcast
1128,Overcast
1129,Overcast
1130,Overcast
1131,Overcast
1132,Overcast
1133,Overcast
1134,Overcast
1135,Overcast
1136,Overcast
1137,Overcast
1138,Overcast
1139,Overcast
1140,Overcast
1141,Overcast
1142,Overcast
1143,Overcast
1144,Overcast
1145,Overcast
1146,Overcast
1147,Overcast
1148,Overcast
1149,Overcast
1150,Overcast
1151,Overcast
1152,Overcast
1153,Overcast
1154,Overcast
1155,Overcast
1156,Overcast
1157,Overcast
1158,Overcast
1159,Overcast
1160,Overcast
1161,Overcast
1162,Overcast
1163,Overcast
1164,Overcast
1165,Overcast
1166,Overcast
1167,Overcast
1168,Overcast
1169,Overcast
1170,Overcast
1171,Overcast
1172,Overcast
1173,Overcast
1174,Overcast
1175,Overcast
1176,Overcast
1177,Overcast
1178,Overcast
1179,Overcast
1180,Overcast
1181,Overcast
1182,Overcast
1183,Overcast
1184,Overcast
1185,Overcast
1186,Overcast
1187,Overcast
1188,Overcast
1189,Overcast
1190,Overcast
1191,Overcast
1192,Overcast
1193,Overcast
1194,Overcast
1195,Overcast
1196,Overcast
1197,Overcast
1198,Overcast
1199,Overcast
1200,Overcast
1201,Overcast
1202,Overcast
1203,Overcast
1204,Overcast
1205,Overcast
1206,Overcast
1207,Overcast
1208,Overcast
1209,Overcast
1210,Overcast
1211,Overcast
1212,Overcast
1213,Overcast
1214,Overcast
1215,Overcast
1216,Overcast
1217,Overcast
1218,Overcast
1219,Overcast
1220,Overcast
1221,Overcast
1222,Overcast
1223,Overcast
1224,Overcast
1225,Overcast
1226,Overcast
1227,Overcast
1228,Overcast
1229,Overcast
1230,Overcast
1231,Overcast
1232,Overcast
1233,Overcast
1234,Overcast
1235,Overcast
1236,Overcast
1237,Overcast
1238,Overcast
1239,Overcast
1240,Overcast
1241,Overcast
1242,Overcast
1243,Overcast
1244,Overcast
1245,Overcast
1246,Overcast
1247,Overcast
1248,Moderate snow
1249,Moderate snow
1250,Moderate snow
1251,Moderate snow
1252,Moderate snow
1253,Moderate snow
1254,Moderate snow
1255,Moderate snow
1256,Moderate snow
1257,Moderate snow
1258,Moderate snow
1259,Moderate snow
1260,Moderate snow
1261,Moderate snow
1262,Moderate snow
1263,Moderate snow
1264,Moderate snow
1265,Moderate snow
1266,Moderate snow
1267,Moderate snow
