,weather
870,Heavy snow
871,Heavy snow
872,Heavy snow
873,Heavy snow
874,Heavy snow
875,Heavy snow
876,Heavy snow
877,Heavy snow
878,Heavy snow
879,Heavy snow
880,Heavy snow
881,Heavy snow
882,Heavy snow
883,Heavy snow
884,Heavy snow
885,Heavy snow
886,Heavy snow
887,Heavy snow
888,Heavy snow
889,Heavy snow
890,Heavy snow
891,Heavy snow
892,Heavy snow
893,Heavy snow
894,Heavy snow
895,Heavy snow
896,Heavy snow
897,Heavy snow
898,Heavy snow
899,Heavy snow
900,Heavy snow
901,Heavy snow
902,Heavy snow
903,Heavy snow
904,Heavy snow
905,Heavy snow
906,Heavy snow
907,Heavy snow
908,Heavy snow
909,Heavy snow
910,Heavy snow
911,Heavy snow
912,Heavy snow
913,Heavy snow
914,Heavy snow
915,Heavy snow
916,Heavy snow
917,Heavy snow
918,Heavy snow
919,Heavy snow
920,Heavy snow
921,Heavy snow
922,Heavy snow
923,Heavy snow
924,Heavy snow
925,Heavy snow
926,Heavy snow
927,Heavy snow
928,Heavy snow
929,Heavy snow
930,Heavy snow
931,Heavy snow
932,Heavy snow
933,Heavy snow
934,Heavy snow
935,Heavy snow
936,Heavy snow
937,Heavy snow
938,Heavy snow
939,Heavy snow
940,Heavy snow
941,Heavy snow
942,Heavy snow
943,Heavy snow
944,Heavy snow
945,Heavy snow
946,Heavy snow
947,Heavy snow
948,Heavy snow
949,Heavy snow
950,Heavy snow
951,Heavy snow
952,Heavy snow
953,Heavy snow
954,Heavy snow
955,Heavy snow
956,Heavy snow
957,Heavy snow
958,Heavy snow
959,Heavy snow
960,Heavy snow
961,Heavy snow
962,Heavy snow
963,Heavy snow
964,Heavy snow
965,Heavy snow
966,Heavy snow
967,Heavy snow
968,Heavy snow
969,Heavy snow
970,Heavy snow
971,Heavy snow
972,Heavy snow
973,Heavy snow
974,Heavy snow
975,Heavy snow
976,Heavy snow
977,Heavy snow
978,Heavy snow
979,Heavy snow
980,Heavy snow
981,Heavy snow
982,Heavy snow
983,Heavy snow
984,Heavy snow
985,Heavy snow
986,Heavy snow
987,Heavy snow
988,Heavy snow
989,Heavy snow
990,Heavy snow
991,Heavy snow
992,Heavy snow
993,Heavy snow
994,Heavy snow
995,Heavy snow
996,Heavy snow
997,Heavy snow
998,Heavy snow
999,Heavy snow
1000,Heavy snow
1001,Heavy snow
1002,Heavy snow
1003,Heavy snow
1004,Heavy snow
1005,Heavy snow
1006,Heavy snow
1007,Heavy snow
1008,Heavy snow
1009,Heavy snow
1010,Heavy snow
1011,Heavy snow
1012,Heavy snow
1013,Heavy snow
1014,Heavy snow
1015,Heavy snow
1016,Heavy snow
1017,Heavy snow
1018,Heavy snow
1019,Heavy snow
1020,Heavy snow
1021,Heavy snow
1022,Heavy snow
1023,Heavy snow
1024,Heavy snow
1025,Heavy snow
1026,Heavy snow
1027,Heavy snow
1028,Heavy snow
1029,Heavy snow
1030,Heavy snow
1031,Heavy snow
1032,Heavy snow
1033,Heavy snow
1034,Heavy snow
1035,Heavy snow
1036,Heavy snow
1037,Heavy snow
1038,Heavy snow
1039,Heavy snow
1040,Heavy snow
1041,Heavy snow
1042,Heavy snow
1043,Heavy snow
1044,Heavy snow
1045,Heavy snow
1046,Heavy snow
1047,Heavy snow
1048,Heavy snow
1049,Heavy snow
1050,Heavy snow
1051,Heavy snow
1052,Heavy snow
1053,Heavy snow
1054,Heavy snow
1055,Heavy snow
1056,Heavy snow
1057,Heavy snow
1058,Heavy snow
1059,Heavy snow
1060,Heavy snow
1061,Heavy snow
1062,Heavy snow
1063,Heavy snow
1064,Heavy snow
1065,Heavy snow
1066,Heavy snow
1067,Heavy snow
1068,Heavy snow
1069,Heavy snow
1070,Heavy snow
1071,Heavy snow
1072,Heavy snow
1073,Heavy snow
1074,Heavy snow
1075,Heavy snow
1076,Heavy snow
1077,Heavy snow
1078,Heavy snow
1079,Heavy snow
1080,Heavy snow
1081,Heavy snow
1082,Heavy snow
1083,Heavy snow
1084,Heavy snow
1085,Heavy snow
1086,Heavy snow
